datetime,Daily_total_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,Peak_hour_power,Night_usage_power,Day_of_week,Is_workday,Is_weekend,Month,Season,Weekend_usage
2006-12-16,1209.176,0.08818686868686867,236.24376262626262,13.082828282828283,0.0,546.0,4926.0,217.932,255.704,5,0,1,12,1,1209.176
2006-12-17,3390.46,0.1569486111111111,240.0870277777778,9.999027777777778,2033.0,4187.0,13341.0,221.826,878.974,6,0,1,12,1,3390.46
2006-12-18,2203.826,0.11235555555555556,241.23169444444446,6.421666666666667,1063.0,2621.0,14018.0,183.034,347.39799999999997,0,1,0,12,1,0.0
2006-12-19,1666.194,0.10482083333333334,241.9993125,4.926388888888889,839.0,7602.0,6197.0,232.742,213.834,1,1,0,12,1,0.0
2006-12-20,2225.748,0.11180416666666666,242.30806249999998,6.467361111111111,0.0,2648.0,14063.0,218.764,468.32,2,1,0,12,1,0.0
2006-12-21,1717.112,0.10011527777777778,241.04228472222223,5.028194444444445,1765.0,2623.0,10421.0,154.548,335.968,3,1,0,12,1,0.0
2006-12-22,2341.338,0.12979583333333333,241.1845486111111,6.872916666666667,3151.0,350.0,11131.0,272.92,458.148,4,1,0,12,1,0.0
2006-12-23,4773.386,0.15379861111111112,240.1360763888889,14.028055555555557,2669.0,425.0,14726.0,333.748,1254.266,5,0,1,12,1,4773.386
2006-12-24,2550.012,0.10409722222222223,241.6874375,7.640416666666667,1703.0,5082.0,6891.0,241.68,923.256,6,0,1,12,1,2550.012
2006-12-25,2743.12,0.1668611111111111,243.39993055555558,7.951527777777779,6620.0,1962.0,5795.0,252.892,674.41,0,1,0,12,1,0.0
2006-12-26,3934.11,0.11465416666666667,241.6254375,11.347916666666666,1086.0,2533.0,14979.0,242.514,1001.936,1,1,0,12,1,0.0
2006-12-27,1528.76,0.12423749999999999,243.76736111111111,4.5175,0.0,314.0,6976.0,141.186,290.858,2,1,0,12,1,0.0
2006-12-28,2072.638,0.14505277777777778,243.26833333333335,6.086250000000001,2207.0,4419.0,9176.0,302.12,471.376,3,1,0,12,1,0.0
2006-12-29,3174.392,0.13638472222222223,240.87130555555555,9.271388888888888,1252.0,5162.0,11329.0,258.824,1061.762,4,1,0,12,1,0.0
2006-12-30,2801.738,0.2171916666666667,240.53632638888888,8.317083333333333,3148.0,7929.0,12516.0,282.99399999999997,193.998,5,0,1,12,1,2801.738
2006-12-31,3494.196,0.10475833333333334,239.8965763888889,10.199583333333333,0.0,347.0,6502.0,245.074,657.712,6,0,1,12,1,3494.196
2007-01-01,2749.004,0.10289305555555556,240.12897916666665,7.916944444444444,0.0,352.0,5880.0,188.768,962.622,0,1,0,1,1,0.0
2007-01-02,1269.236,0.13218194444444445,241.94377777777777,3.7140277777777775,0.0,348.0,6562.0,154.412,288.096,1,1,0,1,1,0.0
2007-01-03,1014.054,0.13661666666666666,243.5570902777778,3.0140277777777778,0.0,344.0,4765.0,100.116,392.242,2,1,0,1,1,0.0
2007-01-04,3259.412,0.1404875,239.7502986111111,9.478194444444444,1051.0,7597.0,10896.0,243.994,1001.472,3,1,0,1,1,0.0
2007-01-05,2713.364,0.12024583333333333,240.49576388888892,7.885138888888889,1483.0,379.0,7602.0,178.542,1085.594,4,1,0,1,1,0.0
2007-01-06,1508.378,0.13346388888888888,239.67305555555555,4.543888888888889,1336.0,402.0,5678.0,240.176,253.71,5,0,1,1,1,1508.378
2007-01-07,2447.62,0.17088472222222223,240.90248611111113,7.282638888888889,1987.0,8177.0,12810.0,312.692,365.082,6,0,1,1,1,2447.62
2007-01-08,2241.36,0.14414444444444446,239.5769513888889,6.551666666666667,0.0,467.0,17547.0,205.502,554.16,0,1,0,1,1,0.0
2007-01-09,1869.054,0.14392222222222223,240.48752083333335,5.521111111111111,1688.0,4267.0,9790.0,197.548,312.08,1,1,0,1,1,0.0
2007-01-10,2154.8,0.15864722222222222,241.02745138888892,6.357777777777779,771.0,4456.0,11012.0,238.246,217.466,2,1,0,1,1,0.0
2007-01-11,2255.194,0.1597361111111111,241.1556875,6.658333333333333,1378.0,2170.0,12415.0,287.052,305.714,3,1,0,1,1,0.0
2007-01-12,1461.296,0.13829166666666665,241.53820833333336,4.309166666666666,0.0,439.0,8276.0,169.95,294.602,4,1,0,1,1,0.0
2007-01-13,3186.814,0.2019,239.28361111111113,9.453055555555554,7806.0,2975.0,11341.0,348.856,791.918,5,0,1,1,1,3186.814
2007-01-14,3011.038,0.15793888888888888,238.81801388888888,8.971666666666668,1777.0,4215.0,12991.0,252.668,925.4,6,0,1,1,1,3011.038
2007-01-15,2148.678,0.12143055555555557,241.2409097222222,6.261527777777778,1099.0,2239.0,15163.0,178.304,499.812,0,1,0,1,1,0.0
2007-01-16,1686.404,0.12876944444444444,241.94475694444446,4.975972222222222,2063.0,644.0,6583.0,187.57,229.562,1,1,0,1,1,0.0
2007-01-17,2847.688,0.13941111111111112,241.00525,8.283888888888889,3500.0,5737.0,16064.0,245.146,413.982,2,1,0,1,1,0.0
2007-01-18,1821.462,0.12341111111111111,240.89359722222224,5.3425,0.0,336.0,13491.0,188.008,336.11,3,1,0,1,1,0.0
2007-01-19,1480.44,0.11809166666666666,240.16094444444445,4.37625,2103.0,330.0,7172.0,170.346,370.062,4,1,0,1,1,0.0
2007-01-20,3133.732,0.16552916666666667,238.8674722222222,9.348055555555556,4324.0,5222.0,11440.0,320.582,559.696,5,0,1,1,1,3133.732
2007-01-21,3407.262,0.15953888888888887,238.96811805555558,10.190694444444444,10346.0,5567.0,11599.0,364.594,653.554,6,0,1,1,1,3407.262
2007-01-22,2180.494,0.1171125,241.60313194444444,6.355277777777778,1054.0,2983.0,11361.0,267.344,299.938,0,1,0,1,1,0.0
2007-01-23,1777.64,0.09602777777777778,242.76255555555556,5.260833333333333,0.0,1064.0,5061.0,218.458,439.05,1,1,0,1,1,0.0
2007-01-24,2987.854,0.12365277777777778,241.45769444444446,8.733611111111111,3464.0,2480.0,11744.0,225.49,680.83,2,1,0,1,1,0.0
2007-01-25,1596.344,0.10011111111111111,243.42436111111112,4.629305555555556,1158.0,262.0,11239.0,182.546,263.142,3,1,0,1,1,0.0
2007-01-26,1617.972,0.09923749999999999,242.77179166666667,4.721388888888889,1163.0,261.0,8238.0,156.444,349.44,4,1,0,1,1,0.0
